--- Demand Distribution ---
Demand,Prob,Cum_Prob,Random_Digits
3,0.1,0.1,01-10
4,0.2,0.3,11-30
5,0.3,0.6,31-60
6,0.2,0.8,61-80
7,0.15,0.95,81-95
8,0.05,1.0,96-00

--- Lead Time Distribution ---
Lead time,Prob,Cum_Prob,Random_Digits
1,0.3,0.3,01-30
2,0.5,0.8,31-80
3,0.2,1.0,81-00

--- Simulation Log ---
Cycle,Day,Begin Inv,RD Demand,Demand,End Inv,Backorder,Order Qty,RD Lead,Days Until Arrival
1,1,25,54,5,20,0,0,0,-
,2,20,16,4,16,0,0,0,-
,3,16,84,7,9,0,0,0,-
,4,9,58,5,4,0,0,0,-
,5,4,22,4,0,0,0,0,-
,6,0,83,7,0,7,0,0,-
,7,0,76,6,0,13,50,1,1
2,1,0,48,5,0,18,0,0,0
,2,32,8,3,29,0,0,0,-
,3,29,10,3,26,0,0,0,-
,4,26,3,3,23,0,0,0,-
,5,23,55,5,18,0,0,0,-
,6,18,59,5,13,0,0,0,-
,7,13,81,7,6,0,50,100,3
3,1,6,78,6,0,0,0,0,2
,2,0,30,4,0,4,0,0,1
,3,0,24,4,0,8,0,0,0
,4,42,68,6,36,0,0,0,-
,5,36,55,5,31,0,0,0,-
,6,31,87,7,24,0,0,0,-
,7,24,39,5,19,0,0,0,-
4,1,19,49,5,14,0,0,0,-
,2,14,9,3,11,0,0,0,-
,3,11,39,5,6,0,0,0,-
,4,6,33,5,1,0,0,0,-
,5,1,10,3,0,2,0,0,-
,6,0,47,5,0,7,0,0,-
,7,0,34,5,0,12,50,43,2
5,1,0,25,4,0,16,0,0,1
,2,0,61,6,0,22,0,0,0
,3,28,66,6,22,0,0,0,-
,4,22,78,6,16,0,0,0,-
,5,16,84,7,9,0,0,0,-
,6,9,81,7,2,0,0,0,-
,7,2,82,7,0,5,50,10,1
6,1,0,100,8,0,13,0,0,0
,2,37,35,5,32,0,0,0,-
,3,32,72,6,26,0,0,0,-
,4,26,87,7,19,0,0,0,-
,5,19,76,6,13,0,0,0,-
,6,13,94,7,6,0,0,0,-
,7,6,91,7,0,1,50,75,2
7,1,0,74,6,0,7,0,0,1
,2,0,49,5,0,12,0,0,0
,3,38,23,4,34,0,0,0,-
,4,34,75,6,28,0,0,0,-
,5,28,77,6,22,0,0,0,-
,6,22,10,3,19,0,0,0,-
,7,19,59,5,14,0,50,73,2
8,1,14,97,8,6,0,0,0,1
,2,6,51,5,1,0,0,0,0
,3,51,32,5,46,0,0,0,-
,4,46,67,6,40,0,0,0,-
,5,40,96,8,32,0,0,0,-
,6,32,90,7,25,0,0,0,-
,7,25,76,6,19,0,0,0,-
9,1,19,5,3,16,0,0,0,-
,2,16,63,6,10,0,0,0,-
,3,10,15,4,6,0,0,0,-
,4,6,52,5,1,0,0,0,-
,5,1,60,5,0,4,0,0,-
,6,0,22,4,0,8,0,0,-
