--- Demand Distribution ---
Demand    Prob      Cum Prob  Range          
2         0.25      0.25      1-25
3         0.25      0.50      26-50
4         0.25      0.75      51-75
5         0.25      1.00      76-100

--- Lead Time Distribution ---
Lead Time Prob      Cum Prob  Range          
2         0.25      0.25      1-25
3         0.25      0.50      26-50
4         0.25      0.75      51-75
5         0.25      1.00      76-100

--- Simulation Log ---
day          | begin_inv    | rd_demand    | demand       | end_inv      | backorder    | order_qty    | rd_lead      | lead_time    | days_until_arrival
1            | 10           | 40           | 3            | 7            | 0            | 0            | 0            | 0            | 0           
2            | 7            | 7            | 2            | 5            | 0            | 0            | 0            | 0            | 0           
3            | 5            | 54           | 4            | 1            | 0            | 0            | 0            | 0            | 0           
4            | 1            | 43           | 3            | 0            | 2            | 0            | 0            | 0            | 0           
5            | 0            | 19           | 2            | 0            | 4            | 0            | 0            | 0            | 0           
6            | 0            | 15           | 2            | 0            | 6            | 0            | 0            | 0            | 0           
7            | 0            | 46           | 3            | 0            | 9            | 10           | 4            | 2            | 2           
8            | 0            | 24           | 2            | 0            | 11           | 0            | 0            | 0            | 1           
9            | 0            | 13           | 2            | 0            | 3            | 0            | 0            | 0            | 0           
10           | 0            | 69           | 4            | 0            | 7            | 0            | 0            | 0            | 0           
11           | 0            | 62           | 4            | 0            | 11           | 0            | 0            | 0            | 0           
12           | 0            | 46           | 3            | 0            | 14           | 0            | 0            | 0            | 0           
13           | 0            | 68           | 4            | 0            | 18           | 0            | 0            | 0            | 0           
14           | 0            | 53           | 4            | 0            | 22           | 10           | 91           | 5            | 5           
15           | 0            | 36           | 3            | 0            | 25           | 0            | 0            | 0            | 4           
16           | 0            | 39           | 3            | 0            | 28           | 0            | 0            | 0            | 3           
17           | 0            | 92           | 5            | 0            | 33           | 0            | 0            | 0            | 2           
18           | 0            | 82           | 5            | 0            | 38           | 0            | 0            | 0            | 1           
19           | 0            | 89           | 5            | 0            | 33           | 0            | 0            | 0            | 0           
20           | 0            | 42           | 3            | 0            | 36           | 0            | 0            | 0            | 0           
21           | 0            | 5            | 2            | 0            | 38           | 10           | 21           | 2            | 2           
22           | 0            | 7            | 2            | 0            | 40           | 0            | 0            | 0            | 1           
23           | 0            | 73           | 4            | 0            | 34           | 0            | 0            | 0            | 0           
24           | 0            | 58           | 4            | 0            | 38           | 0            | 0            | 0            | 0           
25           | 0            | 32           | 3            | 0            | 41           | 0            | 0            | 0            | 0           
26           | 0            | 92           | 5            | 0            | 46           | 0            | 0            | 0            | 0           
27           | 0            | 28           | 3            | 0            | 49           | 0            | 0            | 0            | 0           
28           | 0            | 87           | 5            | 0            | 54           | 10           | 40           | 3            | 3           
29           | 0            | 26           | 3            | 0            | 57           | 0            | 0            | 0            | 2           
30           | 0            | 25           | 2            | 0            | 59           | 0            | 0            | 0            | 1           
31           | 0            | 87           | 5            | 0            | 54           | 0            | 0            | 0            | 0           
32           | 0            | 50           | 3            | 0            | 57           | 0            | 0            | 0            | 0           
33           | 0            | 94           | 5            | 0            | 62           | 0            | 0            | 0            | 0           
34           | 0            | 48           | 3            | 0            | 65           | 0            | 0            | 0            | 0           
35           | 0            | 44           | 3            | 0            | 68           | 10           | 56           | 4            | 4           
36           | 0            | 63           | 4            | 0            | 72           | 0            | 0            | 0            | 3           
37           | 0            | 75           | 4            | 0            | 76           | 0            | 0            | 0            | 2           
38           | 0            | 83           | 5            | 0            | 81           | 0            | 0            | 0            | 1           
39           | 0            | 29           | 3            | 0            | 74           | 0            | 0            | 0            | 0           
40           | 0            | 90           | 5            | 0            | 79           | 0            | 0            | 0            | 0           
41           | 0            | 34           | 3            | 0            | 82           | 0            | 0            | 0            | 0           
42           | 0            | 54           | 4            | 0            | 86           | 10           | 24           | 2            | 2           
43           | 0            | 13           | 2            | 0            | 88           | 0            | 0            | 0            | 1           
44           | 0            | 67           | 4            | 0            | 82           | 0            | 0            | 0            | 0           
45           | 0            | 94           | 5            | 0            | 87           | 0            | 0            | 0            | 0           
46           | 0            | 80           | 5            | 0            | 92           | 0            | 0            | 0            | 0           
47           | 0            | 99           | 5            | 0            | 97           | 0            | 0            | 0            | 0           
48           | 0            | 91           | 5            | 0            | 102          | 0            | 0            | 0            | 0           
49           | 0            | 58           | 4            | 0            | 106          | 10           | 67           | 4            | 4           
50           | 0            | 72           | 4            | 0            | 110          | 0            | 0            | 0            | 3           
51           | 0            | 6            | 2            | 0            | 112          | 0            | 0            | 0            | 2           
52           | 0            | 15           | 2            | 0            | 114          | 0            | 0            | 0            | 1           
53           | 0            | 48           | 3            | 0            | 107          | 0            | 0            | 0            | 0           
54           | 0            | 68           | 4            | 0            | 111          | 0            | 0            | 0            | 0           
55           | 0            | 86           | 5            | 0            | 116          | 0            | 0            | 0            | 0           
56           | 0            | 82           | 5            | 0            | 121          | 10           | 44           | 3            | 3           
57           | 0            | 84           | 5            | 0            | 126          | 0            | 0            | 0            | 2           
58           | 0            | 39           | 3            | 0            | 129          | 0            | 0            | 0            | 1           
59           | 0            | 4            | 2            | 0            | 121          | 0            | 0            | 0            | 0           
60           | 0            | 73           | 4            | 0            | 125          | 0            | 0            | 0            | 0           
61           | 0            | 38           | 3            | 0            | 128          | 0            | 0            | 0            | 0           
62           | 0            | 57           | 4            | 0            | 132          | 0            | 0            | 0            | 0           
63           | 0            | 42           | 3            | 0            | 135          | 10           | 17           | 2            | 2           
64           | 0            | 35           | 3            | 0            | 138          | 0            | 0            | 0            | 1           
65           | 0            | 71           | 4            | 0            | 132          | 0            | 0            | 0            | 0           
66           | 0            | 46           | 3            | 0            | 135          | 0            | 0            | 0            | 0           
67           | 0            | 62           | 4            | 0            | 139          | 0            | 0            | 0            | 0           
68           | 0            | 72           | 4            | 0            | 143          | 0            | 0            | 0            | 0           
69           | 0            | 36           | 3            | 0            | 146          | 0            | 0            | 0            | 0           
70           | 0            | 35           | 3            | 0            | 149          | 10           | 8            | 2            | 2           
71           | 0            | 82           | 5            | 0            | 154          | 0            | 0            | 0            | 1           
72           | 0            | 50           | 3            | 0            | 147          | 0            | 0            | 0            | 0           
73           | 0            | 64           | 4            | 0            | 151          | 0            | 0            | 0            | 0           
74           | 0            | 67           | 4            | 0            | 155          | 0            | 0            | 0            | 0           
75           | 0            | 66           | 4            | 0            | 159          | 0            | 0            | 0            | 0           
76           | 0            | 57           | 4            | 0            | 163          | 0            | 0            | 0            | 0           
77           | 0            | 98           | 5            | 0            | 168          | 10           | 76           | 5            | 5           
78           | 0            | 69           | 4            | 0            | 172          | 0            | 0            | 0            | 4           
79           | 0            | 19           | 2            | 0            | 174          | 0            | 0            | 0            | 3           
80           | 0            | 66           | 4            | 0            | 178          | 0            | 0            | 0            | 2           
81           | 0            | 21           | 2            | 0            | 180          | 0            | 0            | 0            | 1           
82           | 0            | 11           | 2            | 0            | 172          | 0            | 0            | 0            | 0           
83           | 0            | 85           | 5            | 0            | 177          | 0            | 0            | 0            | 0           
84           | 0            | 19           | 2            | 0            | 179          | 10           | 86           | 5            | 5           
85           | 0            | 80           | 5            | 0            | 184          | 0            | 0            | 0            | 4           
86           | 0            | 76           | 5            | 0            | 189          | 0            | 0            | 0            | 3           
87           | 0            | 57           | 4            | 0            | 193          | 0            | 0            | 0            | 2           
88           | 0            | 9            | 2            | 0            | 195          | 0            | 0            | 0            | 1           
89           | 0            | 96           | 5            | 0            | 190          | 0            | 0            | 0            | 0           
90           | 0            | 42           | 3            | 0            | 193          | 0            | 0            | 0            | 0           
91           | 0            | 16           | 2            | 0            | 195          | 10           | 44           | 3            | 3           
92           | 0            | 29           | 3            | 0            | 198          | 0            | 0            | 0            | 2           
93           | 0            | 90           | 5            | 0            | 203          | 0            | 0            | 0            | 1           
94           | 0            | 30           | 3            | 0            | 196          | 0            | 0            | 0            | 0           
95           | 0            | 32           | 3            | 0            | 199          | 0            | 0            | 0            | 0           
96           | 0            | 30           | 3            | 0            | 202          | 0            | 0            | 0            | 0           
97           | 0            | 94           | 5            | 0            | 207          | 0            | 0            | 0            | 0           
98           | 0            | 51           | 4            | 0            | 211          | 10           | 7            | 2            | 2           
99           | 0            | 70           | 4            | 0            | 215          | 0            | 0            | 0            | 1           
100          | 0            | 77           | 5            | 0            | 210          | 0            | 0            | 0            | 0           
101          | 0            | 38           | 3            | 0            | 213          | 0            | 0            | 0            | 0           
102          | 0            | 4            | 2            | 0            | 215          | 0            | 0            | 0            | 0           
103          | 0            | 46           | 3            | 0            | 218          | 0            | 0            | 0            | 0           
104          | 0            | 84           | 5            | 0            | 223          | 0            | 0            | 0            | 0           
105          | 0            | 21           | 2            | 0            | 225          | 10           | 54           | 4            | 4           
106          | 0            | 35           | 3            | 0            | 228          | 0            | 0            | 0            | 3           
107          | 0            | 90           | 5            | 0            | 233          | 0            | 0            | 0            | 2           
108          | 0            | 52           | 4            | 0            | 237          | 0            | 0            | 0            | 1           
